Gene	Species	Experiment accession	Comparison	PECOid	log_2 fold change	Adjusted p-value	t-statistic	ROid	developmental stage	POid LifeStage	anatomical part	POid Anatomy	cultivar
AT3G61898	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	0.005196082		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G15440	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	0.010847486		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G27770	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	1.15E-16		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G03870	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	9.51E-16		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G37710	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	1.16E-13		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G16500	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	1.17E-12		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G31540	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	2.53E-12		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G58900	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	3.21E-12		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G24030	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	1.26E-11		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G59870	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	1.69E-11		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G30350	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	2.02E-11		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
